Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
Time [s],0,1362,2723.1,4084.2,5445.3,6806.4,8167.5,9528.5,10889.6,12250.7,13611.8,14972.9,16334,17695.1,19056.2,20417.3,21778.4,23139.5,24500.5,25861.6,27222.7,28583.8,29944.9,31306,32667.1,34028.2,35389.3,36750.4,38111.5,39472.6,40833.7,42194.7,43555.8,44916.9,46278,47639.1,49000.2,50361.3,51722.4,53083.5,54444.6,55805.7,57166.8,58527.8,59888.9,61250,62611.1,63972.2,65333.3,66694.4,68055.5,69416.6,70777.7,72138.8,73499.9,74861,76222.1,77583.1,78944.2,80305.3,81666.4,83027.5,84388.6,85749.7,87110.8,88471.9,89833,91194.1,92555.2,93916.3,95277.3,96638.5,97999.5,99360.6,100721.7,102082.8,103443.9,104805,106166.1,107527.2,108888.3,110249.4,111610.4,112971.5,114332.6,115693.7,117054.8,118415.9,119777,121138.1,122499.2,123860.3,125221.4,126582.5,127943.6,129304.6,130665.7,132026.8,133387.9,134749,136110.1,137471.2,138832.3,140193.4,141554.5,142915.6
Temp. [°C],31,30,30.1,30.3,30.4,30.2,30.1,30,30,30.1,30,29.9,29.9,30.1,30.4,30.3,30.2,30,30,31.1,30.3,29.9,30.5,29.9,30.2,30.9,29.9,30,30.4,30.7,31,30.5,29.9,30,30.1,30.3,30.6,30.8,31,31,30.6,30.1,30.1,30,30,30,30.1,30.2,30.3,30.4,30.4,30.5,30.6,30.6,30.7,30.8,30.8,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,31,31,31,31,31,31,31,31,31,31,31,31,31,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31,31,31,31,31,31,31,31
A1,0.088799998,0.089400001,0.089400001,0.089500003,0.089400001,0.089699998,0.089599997,0.089500003,0.089500003,0.089500003,0.089400001,0.089500003,0.089900002,0.089500003,0.089599997,0.090099998,0.089500003,0.089500003,0.089500003,0.090000004,0.089599997,0.089599997,0.089500003,0.089500003,0.089500003,0.089599997,0.089599997,0.089500003,0.089599997,0.089500003,0.089500003,0.089500003,0.0898,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089699998,0.089599997,0.089699998,0.089699998,0.089699998,0.090000004,0.0898,0.0898,0.0898,0.0898,0.0898,0.0898,0.0898,0.0898,0.0898,0.089900002,0.090400003,0.0898,0.0898,0.089900002,0.0898,0.090000004,0.089900002,0.090300001,0.089900002,0.089900002,0.0902,0.090000004,0.090000004,0.089900002,0.0902,0.090300001,0.090000004,0.090000004,0.0902,0.090000004,0.090000004,0.090000004,0.090000004,0.090099998,0.090099998,0.090300001,0.090099998,0.090000004,0.090099998,0.090400003,0.090099998,0.090099998,0.090099998,0.090300001,0.090099998,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902,0.090300001,0.0902,0.090400003,0.0902,0.090300001,0.090300001,0.090300001,0.090300001,0.090400003
A2,0.097800002,0.098099999,0.097499996,0.097900003,0.097999997,0.097499996,0.097599998,0.097800002,0.098200001,0.098300003,0.097999997,0.097900003,0.098099999,0.097900003,0.098499998,0.097800002,0.0977,0.0977,0.0977,0.097499996,0.097599998,0.097400002,0.097400002,0.0973,0.0973,0.0973,0.097400002,0.097199999,0.0973,0.097099997,0.097000003,0.097000003,0.097099997,0.097000003,0.096900001,0.097499996,0.097000003,0.096900001,0.096699998,0.096699998,0.097000003,0.096699998,0.096699998,0.096600004,0.096600004,0.097000003,0.096799999,0.096600004,0.097000003,0.096500002,0.096600004,0.096600004,0.096799999,0.096500002,0.096600004,0.096500002,0.096500002,0.096500002,0.096500002,0.096500002,0.096600004,0.096600004,0.096299998,0.096500002,0.0964,0.0964,0.0964,0.0964,0.0964,0.0964,0.096699998,0.0964,0.0964,0.0964,0.096299998,0.096299998,0.096299998,0.096299998,0.096199997,0.096299998,0.096299998,0.096600004,0.096699998,0.096299998,0.096199997,0.096500002,0.096199997,0.096199997,0.096199997,0.096199997,0.0964,0.096299998,0.096199997,0.096199997,0.096199997,0.096299998,0.096199997,0.096100003,0.096199997,0.096500002,0.096000001,0.096100003,0.096100003,0.096100003,0.096100003,0.096100003
A3,0.0973,0.096799999,0.096500002,0.096500002,0.097099997,0.096699998,0.096799999,0.097000003,0.097099997,0.097199999,0.097099997,0.097099997,0.097099997,0.097099997,0.097000003,0.096799999,0.096900001,0.096799999,0.096799999,0.096699998,0.096699998,0.096600004,0.096500002,0.0964,0.096299998,0.097000003,0.0964,0.096199997,0.096699998,0.096199997,0.096199997,0.0964,0.096100003,0.096100003,0.096500002,0.096000001,0.096199997,0.096500002,0.095899999,0.095899999,0.096100003,0.095899999,0.095899999,0.096000001,0.095799997,0.095899999,0.095799997,0.095700003,0.095700003,0.095700003,0.096199997,0.095700003,0.095700003,0.096199997,0.095700003,0.095600002,0.095600002,0.095700003,0.095600002,0.095700003,0.095899999,0.095899999,0.095600002,0.095600002,0.095399998,0.095600002,0.095600002,0.095600002,0.095600002,0.095600002,0.095600002,0.0955,0.095600002,0.095399998,0.095399998,0.0955,0.095299996,0.095399998,0.095299996,0.0955,0.095399998,0.095399998,0.095399998,0.095399998,0.095200002,0.0955,0.095299996,0.095299996,0.095200002,0.0955,0.095200002,0.095399998,0.095200002,0.095200002,0.095200002,0.095200002,0.095200002,0.095100001,0.095100001,0.095100001,0.095100001,0.094999999,0.094999999,0.094999999,0.094899997,0.094999999
A4,0.097599998,0.0973,0.0973,0.097099997,0.0973,0.097400002,0.097400002,0.0977,0.097800002,0.097599998,0.097599998,0.0977,0.097599998,0.097599998,0.097499996,0.0973,0.097800002,0.097199999,0.097099997,0.097199999,0.0973,0.097099997,0.096900001,0.097199999,0.096900001,0.096900001,0.096699998,0.096699998,0.096799999,0.096699998,0.097099997,0.096699998,0.096600004,0.096600004,0.096500002,0.096600004,0.096600004,0.096500002,0.096500002,0.0964,0.096500002,0.096500002,0.096500002,0.0964,0.096299998,0.096699998,0.0964,0.0964,0.096600004,0.0964,0.096600004,0.096299998,0.097000003,0.096299998,0.096299998,0.096199997,0.0964,0.096199997,0.096299998,0.096299998,0.096100003,0.096100003,0.096500002,0.096199997,0.096100003,0.096600004,0.096199997,0.096199997,0.096600004,0.096199997,0.096199997,0.096299998,0.096199997,0.096100003,0.096000001,0.096100003,0.096100003,0.096100003,0.095899999,0.096199997,0.0964,0.095899999,0.096000001,0.095899999,0.095899999,0.096000001,0.095899999,0.096100003,0.096199997,0.095899999,0.095799997,0.096100003,0.096100003,0.095899999,0.095700003,0.096299998,0.095799997,0.095799997,0.095799997,0.095700003,0.095700003,0.095700003,0.095700003,0.095600002,0.095700003,0.095600002
A5,0.099100001,0.098300003,0.098700002,0.098099999,0.098200001,0.098200001,0.0986,0.099100001,0.0986,0.098499998,0.098300003,0.098399997,0.098399997,0.098200001,0.098499998,0.098200001,0.098200001,0.098200001,0.098200001,0.097999997,0.098200001,0.098099999,0.098499998,0.097900003,0.097900003,0.098700002,0.097900003,0.098099999,0.097900003,0.097800002,0.0977,0.097999997,0.097800002,0.097800002,0.097900003,0.098200001,0.097800002,0.0977,0.0977,0.097599998,0.0977,0.0977,0.0977,0.097599998,0.097599998,0.097599998,0.0977,0.097999997,0.0977,0.097999997,0.097599998,0.097499996,0.097599998,0.097999997,0.0977,0.097499996,0.0977,0.097599998,0.097499996,0.097499996,0.097400002,0.097499996,0.097800002,0.097499996,0.097499996,0.097499996,0.097800002,0.097400002,0.097499996,0.097499996,0.097400002,0.097499996,0.097400002,0.097400002,0.0977,0.0973,0.0973,0.097400002,0.0973,0.0973,0.0973,0.097199999,0.097199999,0.0973,0.097199999,0.0973,0.097099997,0.097199999,0.097199999,0.097199999,0.097099997,0.097199999,0.097199999,0.097099997,0.097000003,0.097199999,0.097099997,0.097000003,0.097000003,0.097000003,0.097000003,0.097000003,0.097000003,0.097000003,0.096900001,0.096900001
A6,0.096799999,0.0964,0.096100003,0.096100003,0.096100003,0.096299998,0.096500002,0.0964,0.096500002,0.096299998,0.096199997,0.096299998,0.096100003,0.096100003,0.096100003,0.095899999,0.096000001,0.096500002,0.095799997,0.096100003,0.095899999,0.095799997,0.096299998,0.096100003,0.095700003,0.095700003,0.095799997,0.095600002,0.095700003,0.0955,0.095600002,0.0955,0.095600002,0.096100003,0.096100003,0.095600002,0.095600002,0.0955,0.095399998,0.0955,0.095299996,0.095600002,0.095399998,0.0955,0.0955,0.0955,0.096000001,0.095399998,0.095399998,0.095399998,0.095399998,0.095399998,0.095399998,0.095399998,0.095399998,0.095700003,0.095299996,0.095700003,0.095399998,0.095399998,0.095299996,0.095299996,0.095299996,0.095299996,0.095200002,0.095299996,0.095299996,0.095299996,0.095200002,0.095299996,0.095200002,0.095399998,0.095299996,0.095399998,0.095399998,0.095200002,0.095100001,0.095100001,0.095100001,0.094999999,0.095100001,0.094999999,0.095100001,0.095299996,0.095600002,0.094999999,0.094999999,0.095399998,0.094999999,0.094999999,0.094999999,0.094999999,0.094899997,0.094899997,0.094899997,0.094899997,0.094899997,0.094800003,0.094899997,0.094800003,0.094800003,0.094800003,0.094800003,0.094800003,0.094599999,0.094599999
A7,0.096900001,0.096900001,0.096500002,0.0964,0.096799999,0.096900001,0.096900001,0.096900001,0.096799999,0.096699998,0.096500002,0.096600004,0.096699998,0.096699998,0.096600004,0.096500002,0.096500002,0.096699998,0.096500002,0.096500002,0.096500002,0.096500002,0.0964,0.096699998,0.096799999,0.096900001,0.0964,0.096299998,0.096299998,0.096100003,0.096299998,0.096199997,0.0964,0.096299998,0.096299998,0.096799999,0.096299998,0.096299998,0.096199997,0.096299998,0.096199997,0.096199997,0.096199997,0.096199997,0.096299998,0.096299998,0.096199997,0.096199997,0.096199997,0.096199997,0.096500002,0.096600004,0.096199997,0.096699998,0.096199997,0.096100003,0.096100003,0.096299998,0.096199997,0.096199997,0.096000001,0.096000001,0.096000001,0.096000001,0.095799997,0.096000001,0.095899999,0.096000001,0.095799997,0.095899999,0.095899999,0.096100003,0.096100003,0.096299998,0.095899999,0.095799997,0.095899999,0.095799997,0.095700003,0.095799997,0.095700003,0.095799997,0.095700003,0.095799997,0.095700003,0.095799997,0.095700003,0.095600002,0.0955,0.095700003,0.095600002,0.095600002,0.095600002,0.0955,0.0955,0.0955,0.0955,0.095399998,0.095299996,0.095399998,0.0955,0.0955,0.095299996,0.095299996,0.095200002,0.095600002
A8,0.100599997,0.101499997,0.1008,0.101000004,0.100900002,0.101499997,0.100699998,0.1008,0.100900002,0.100500003,0.100699998,0.100599997,0.100699998,0.100599997,0.100599997,0.100599997,0.100500003,0.100699998,0.100500003,0.1008,0.100900002,0.100699998,0.100599997,0.100599997,0.100400001,0.100599997,0.100599997,0.100500003,0.100500003,0.100400001,0.100900002,0.100500003,0.100500003,0.100500003,0.100500003,0.100699998,0.100599997,0.100599997,0.100500003,0.100400001,0.100400001,0.100599997,0.100599997,0.100900002,0.100500003,0.1008,0.1008,0.101000004,0.100699998,0.100500003,0.100400001,0.100500003,0.1008,0.100500003,0.100900002,0.100400001,0.100299999,0.100400001,0.100400001,0.100400001,0.100500003,0.100199997,0.100299999,0.100599997,0.100100003,0.100299999,0.100199997,0.100199997,0.100100003,0.100199997,0.100599997,0.100199997,0.100199997,0.100000001,0.100100003,0.100699998,0.100000001,0.100000001,0.100199997,0.0999,0.100000001,0.0999,0.100199997,0.099799998,0.0999,0.0999,0.099799998,0.099799998,0.099600002,0.099799998,0.0999,0.099699996,0.099600002,0.099600002,0.099699996,0.099600002,0.0995,0.0995,0.099600002,0.0995,0.099399999,0.099399999,0.099299997,0.099399999,0.099200003,0.099299997
