File Path	chrom://thermoelectronn/ChromeleonLocal/Hunter/Alex V/OA Runs/11-2022 OA Column/OA and AA (mM) Standards.seq/180.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	WH 5
Injection Number	245
Position	RA6
Comment	
Processing Method	New Processing Method
Instrument Method	Final-Optomized-OA-Column-SCFA-Method
Type	Unknown
Status	Finished
Injection Date	2/2/2023
Injection Time	8:22:34 PM
Injection Volume (µl)	6.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	32.000000
Data Points	9601
Detector	UV
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.752598
Signal Max.	4.617714
Channel	UV_VIS_1
Driver Name	MWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:210 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	0.000112
0.006667	0.2	0.000872
0.010000	0.2	0.003347
0.013333	0.2	0.008533
0.016667	0.2	0.016427
0.020000	0.2	0.025732
0.023333	0.2	0.034455
0.026667	0.2	0.040906
0.030000	0.2	0.044830
0.033333	0.2	0.047656
0.036667	0.2	0.050787
0.040000	0.2	0.053963
0.043333	0.2	0.055997
0.046667	0.2	0.056288
0.050000	0.2	0.055079
0.053333	0.2	0.052724
0.056667	0.2	0.049333
0.060000	0.2	0.045288
0.063333	0.2	0.041327
0.066667	0.2	0.037966
0.070000	0.2	0.035260
0.073333	0.2	0.032999
0.076667	0.2	0.031071
0.080000	0.2	0.029431
0.083333	0.2	0.027841
0.086667	0.2	0.026107
0.090000	0.2	0.024375
0.093333	0.2	0.022854
0.096667	0.2	0.021642
0.100000	0.2	0.020947
0.103333	0.2	0.020931
0.106667	0.2	0.021324
0.110000	0.2	0.021513
0.113333	0.2	0.021146
0.116667	0.2	0.020612
0.120000	0.2	0.020554
0.123333	0.2	0.020890
0.126667	0.2	0.020916
0.130000	0.2	0.020298
0.133333	0.2	0.019221
0.136667	0.2	0.017638
0.140000	0.2	0.015283
0.143333	0.2	0.012483
0.146667	0.2	0.010247
0.150000	0.2	0.009420
0.153333	0.2	0.009859
0.156667	0.2	0.010498
0.160000	0.2	0.010280
0.163333	0.2	0.008969
0.166667	0.2	0.007320
0.170000	0.2	0.006601
0.173333	0.2	0.007548
0.176667	0.2	0.009791
0.180000	0.2	0.012379
0.183333	0.2	0.014373
0.186667	0.2	0.015065
0.190000	0.2	0.014286
0.193333	0.2	0.012600
0.196667	0.2	0.011098
0.200000	0.2	0.010743
0.203333	0.2	0.011593
0.206667	0.2	0.012760
0.210000	0.2	0.013132
0.213333	0.2	0.012132
0.216667	0.2	0.010149
0.220000	0.2	0.008225
0.223333	0.2	0.007130
0.226667	0.2	0.006869
0.230000	0.2	0.007071
0.233333	0.2	0.007591
0.236667	0.2	0.008465
0.240000	0.2	0.009468
0.243333	0.2	0.010072
0.246667	0.2	0.009835
0.250000	0.2	0.008720
0.253333	0.2	0.007217
0.256667	0.2	0.006237
0.260000	0.2	0.006765
0.263333	0.2	0.009273
0.266667	0.2	0.013228
0.270000	0.2	0.017301
0.273333	0.2	0.020178
0.276667	0.2	0.021355
0.280000	0.2	0.021332
0.283333	0.2	0.020830
0.286667	0.2	0.019891
0.290000	0.2	0.018186
0.293333	0.2	0.015861
0.296667	0.2	0.013587
0.300000	0.2	0.012021
0.303333	0.2	0.011264
0.306667	0.2	0.010733
0.310000	0.2	0.009841
0.313333	0.2	0.008610
0.316667	0.2	0.007365
0.320000	0.2	0.006194
0.323333	0.2	0.004999
0.326667	0.2	0.004015
0.330000	0.2	0.003810
0.333333	0.2	0.004636
0.336667	0.2	0.006233
0.340000	0.2	0.008209
0.343333	0.2	0.010152
0.346667	0.2	0.011472
0.350000	0.2	0.011558
0.353333	0.2	0.010231
0.356667	0.2	0.007895
0.360000	0.2	0.005257
0.363333	0.2	0.003192
0.366667	0.2	0.002466
0.370000	0.2	0.003103
0.373333	0.2	0.004363
0.376667	0.2	0.005564
0.380000	0.2	0.006514
0.383333	0.2	0.007252
0.386667	0.2	0.007774
0.390000	0.2	0.007856
0.393333	0.2	0.007337
0.396667	0.2	0.006958
0.400000	0.2	0.008188
0.403333	0.2	0.011453
0.406667	0.2	0.015119
0.410000	0.2	0.017041
0.413333	0.2	0.016580
0.416667	0.2	0.014439
0.420000	0.2	0.011528
0.423333	0.2	0.008837
0.426667	0.2	0.007427
0.430000	0.2	0.007776
0.433333	0.2	0.009513
0.436667	0.2	0.011746
0.440000	0.2	0.013330
0.443333	0.2	0.013264
0.446667	0.2	0.011420
0.450000	0.2	0.008801
0.453333	0.2	0.006706
0.456667	0.2	0.005702
0.460000	0.2	0.005536
0.463333	0.2	0.005698
0.466667	0.2	0.005928
