File Path	chrom://thermoelectronn/ChromeleonLocal/Hunter/Alex V/OA Runs/11-2022 OA Column/OA and AA (mM) Standards.seq/845.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	WH CORRECT C
Injection Number	280
Position	RE1
Comment	
Processing Method	New Processing Method
Instrument Method	Final-Optomized-OA-Column-SCFA-Method
Type	Unknown
Status	Finished
Injection Date	2/6/2023
Injection Time	2:19:22 PM
Injection Volume (µl)	6.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	32.000000
Data Points	9601
Detector	UV
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.623101
Signal Max.	4.201809
Channel	UV_VIS_1
Driver Name	MWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:210 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000044
0.006667	0.2	-0.000246
0.010000	0.2	-0.000465
0.013333	0.2	0.000238
0.016667	0.2	0.003258
0.020000	0.2	0.009223
0.023333	0.2	0.017575
0.026667	0.2	0.027279
0.030000	0.2	0.036988
0.033333	0.2	0.044882
0.036667	0.2	0.049606
0.040000	0.2	0.051217
0.043333	0.2	0.050561
0.046667	0.2	0.048142
0.050000	0.2	0.044226
0.053333	0.2	0.039751
0.056667	0.2	0.036135
0.060000	0.2	0.033888
0.063333	0.2	0.032226
0.066667	0.2	0.030220
0.070000	0.2	0.027685
0.073333	0.2	0.025041
0.076667	0.2	0.022570
0.080000	0.2	0.019944
0.083333	0.2	0.016892
0.086667	0.2	0.013725
0.090000	0.2	0.010650
0.093333	0.2	0.007559
0.096667	0.2	0.004792
0.100000	0.2	0.003329
0.103333	0.2	0.004021
0.106667	0.2	0.006560
0.110000	0.2	0.009302
0.113333	0.2	0.010485
0.116667	0.2	0.009417
0.120000	0.2	0.006462
0.123333	0.2	0.002599
0.126667	0.2	-0.001035
0.130000	0.2	-0.003732
0.133333	0.2	-0.005303
0.136667	0.2	-0.005565
0.140000	0.2	-0.004369
0.143333	0.2	-0.002105
0.146667	0.2	0.000400
0.150000	0.2	0.002307
0.153333	0.2	0.002902
0.156667	0.2	0.001831
0.160000	0.2	-0.000564
0.163333	0.2	-0.003276
0.166667	0.2	-0.005217
0.170000	0.2	-0.005777
0.173333	0.2	-0.004977
0.176667	0.2	-0.003456
0.180000	0.2	-0.002055
0.183333	0.2	-0.001129
0.186667	0.2	-0.000549
0.190000	0.2	-0.000301
0.193333	0.2	-0.000649
0.196667	0.2	-0.001715
0.200000	0.2	-0.003257
0.203333	0.2	-0.004698
0.206667	0.2	-0.005320
0.210000	0.2	-0.004922
0.213333	0.2	-0.004170
0.216667	0.2	-0.003847
0.220000	0.2	-0.004031
0.223333	0.2	-0.004446
0.226667	0.2	-0.005190
0.230000	0.2	-0.006401
0.233333	0.2	-0.007702
0.236667	0.2	-0.008633
0.240000	0.2	-0.009215
0.243333	0.2	-0.009616
0.246667	0.2	-0.009569
0.250000	0.2	-0.008694
0.253333	0.2	-0.007190
0.256667	0.2	-0.005755
0.260000	0.2	-0.005013
0.263333	0.2	-0.005070
0.266667	0.2	-0.005417
0.270000	0.2	-0.005597
0.273333	0.2	-0.005840
0.276667	0.2	-0.006551
0.280000	0.2	-0.007800
0.283333	0.2	-0.009585
0.286667	0.2	-0.011727
0.290000	0.2	-0.013487
0.293333	0.2	-0.013886
0.296667	0.2	-0.012204
0.300000	0.2	-0.008498
0.303333	0.2	-0.004230
0.306667	0.2	-0.001503
0.310000	0.2	-0.001277
0.313333	0.2	-0.002939
0.316667	0.2	-0.005219
0.320000	0.2	-0.006987
0.323333	0.2	-0.007473
0.326667	0.2	-0.006410
0.330000	0.2	-0.004334
0.333333	0.2	-0.002325
0.336667	0.2	-0.001204
0.340000	0.2	-0.001126
0.343333	0.2	-0.001756
0.346667	0.2	-0.002509
0.350000	0.2	-0.002569
0.353333	0.2	-0.001144
0.356667	0.2	0.001867
0.360000	0.2	0.005713
0.363333	0.2	0.009290
0.366667	0.2	0.011531
0.370000	0.2	0.011691
0.373333	0.2	0.009639
0.376667	0.2	0.005948
0.380000	0.2	0.001573
0.383333	0.2	-0.002598
0.386667	0.2	-0.005772
0.390000	0.2	-0.007444
0.393333	0.2	-0.007755
0.396667	0.2	-0.007169
0.400000	0.2	-0.006004
0.403333	0.2	-0.004459
0.406667	0.2	-0.002817
0.410000	0.2	-0.001675
0.413333	0.2	-0.001612
0.416667	0.2	-0.002248
0.420000	0.2	-0.002446
0.423333	0.2	-0.001630
0.426667	0.2	-0.000084
0.430000	0.2	0.001717
0.433333	0.2	0.003216
0.436667	0.2	0.003743
0.440000	0.2	0.003168
0.443333	0.2	0.002132
0.446667	0.2	0.001238
0.450000	0.2	0.000497
0.453333	0.2	-0.000148
0.456667	0.2	-0.000347
0.460000	0.2	0.000105
0.463333	0.2	0.000779
0.466667	0.2	0.001170
0.470000	0.2	0.001401
0.473333	0.2	0.002051
0.476667	0.2	0.003283
0.480000	0.2	0.004592
0.483333	0.2	0.005623
0.486667	0.2	0.006526
0.490000	0.2	0.007290
0.493333	0.2	0.007406
0.496667	0.2	0.006452
0.500000	0.2	0.004581
0.503333	0.2	0.002374
0.506667	0.2	0.000564
0.510000	0.2	-0.000313
0.513333	0.2	-0.000112
0.516667	0.2	0.001102
0.520000	0.2	0.002902
0.523333	0.2	0.004138
0.526667	0.2	0.003633
0.530000	0.2	0.001471
0.533333	0.2	-0.001194
0.536667	0.2	-0.003521
