Estimate,SE,t,p,term,gene,padj
-1.3913258579582082,0.05463765500532933,-25.464596857652456,2.2443053634005676e-14,(Intercept),STM0002,1.5321700077061569e-12
0.7192455250368096,0.07726931272479894,9.308294582591438,7.3759302406186685e-08,ETRUE,STM0002,9.029155984205612e-6
0.7847345623778409,0.07726931272479896,10.15583722315142,2.2141571930248607e-8,MTRUE,STM0002,4.136977913283292e-6
-0.41635475071516165,0.10927531001065864,-3.810144768059232,0.0015394300930849454,ETRUE:MTRUE,STM0002,0.08674566397542152
-2.2129649025433213,0.2754039015071449,-8.035343328227722,5.236950827096754e-7,(Intercept),STM0003,1.0386131528599708e-5
-0.3617892521608677,0.3894799326418683,-0.9289034474942705,0.3667419919732975,ETRUE,STM0003,0.9962820938216866
0.7306611670743574,0.3894799326418685,1.8759918184185607,0.07902161879469495,MTRUE,STM0003,0.6635966245283769
-0.366350303927872,0.5508078030142898,-0.6651145861097535,0.5154508218446099,ETRUE:MTRUE,STM0003,0.9832598879686079
-4.301231965648581,0.17633189561200804,-24.392818728114843,4.3932865483471755e-14,(Intercept),STM0004,2.736169692391662e-12
0.22080724713867084,0.24937095825345856,0.8854569460901064,0.3890241288841041,ETRUE,STM0004,0.9962820938216866
1.6073996892128681,0.24937095825345867,6.445817510069155,8.084154670218315e-6,MTRUE,STM0004,5.856887567198983e-4
-1.7758501749135562,0.3526637912240161,-5.0355330462194114,1.2182583056042498e-4,ETRUE:MTRUE,STM0004,0.012356619956843106
-0.03376234498261212,0.119899552112507,-0.2815885830076449,0.781868370746248,(Intercept),STM0005,0.9549491449446482
-0.2262448857547565,0.16956357271996703,-1.3342776524790394,0.20079318880606514,ETRUE,STM0005,0.9962820938216866
-0.07109157248879687,0.16956357271996708,-0.4192620581674346,0.6805994838920406,MTRUE,STM0005,0.9883797477890854
0.3472058671998832,0.23979910422501396,1.4479031033997725,0.16695575989898828,ETRUE:MTRUE,STM0005,0.9118123843347153
0.3059315907889623,0.09836849839224332,3.1100565301816787,0.0067364442395014415,(Intercept),STM0006,0.06428595981244656
-0.2169460569195732,0.13911406453658645,-1.5594832746944665,0.13844089446596355,ETRUE,STM0006,0.9775361909290138
