Cycle Nr.,1,2,3
Time [s],0,218.1,435.4
Temp. [°C],30.9,30,30.9
A1,0.089299999,0.090000004,0.089699998
A2,0.090000004,0.090099998,0.090000004
A3,0.092200004,0.092500001,0.092299998
A4,0.090599999,0.091499999,0.091499999
A5,0.0911,0.091300003,0.091700003
A6,0.091200002,0.091700003,0.091300003
A7,0.094599999,0.096299998,0.095100001
A8,0.092500001,0.093000002,0.093699999
A9,0.094099998,0.094300002,0.092399999
A10,0.093800001,0.0933,0.093500003
A11,0.092299998,0.092500001,0.093099996
A12,0.091600001,0.092200004,0.091499999
B1,0.0889,0.090300001,0.089900002
B2,0.412699997,0.420100003,0.431199998
B3,0.395099998,0.40110001,0.411199987
B4,0.407700002,0.416200012,0.42719999
B5,0.092,0.092900001,0.092399999
B6,0.091700003,0.092100002,0.093500003
B7,0.0902,0.090700001,0.090700001
B8,0.095299996,0.096299998,0.094800003
B9,0.091300003,0.092,0.091799997
B10,0.092200004,0.0933,0.091600001
B11,0.095100001,0.0955,0.0933
B12,0.091700003,0.094099998,0.093400002
C1,0.088399999,0.090000004,0.089699998
C2,0.287,0.300500005,0.311699986
C3,0.252400011,0.269199997,0.279399991
C4,0.260600001,0.278800011,0.28639999
C5,0.289700001,0.3028,0.310699999
C6,0.278600007,0.287999988,0.29370001
C7,0.252700001,0.260899991,0.266200006
C8,0.105099998,0.107900001,0.108199999
C9,0.155200005,0.159099996,0.160999998
C10,0.165099993,0.168899998,0.169799998
C11,0.090099998,0.0911,0.091399997
C12,0.093599997,0.095700003,0.094800003
D1,0.087499999,0.0898,0.090300001
D2,0.282900006,0.297600001,0.309500009
D3,0.294400007,0.307599992,0.317799985
D4,0.291599989,0.305500001,0.316500008
D5,0.258300006,0.274699986,0.284799993
D6,0.296600014,0.314599991,0.324900001
D7,0.36680001,0.385800004,0.397100002
D8,0.1083,0.110399999,0.111500002
D9,0.120099999,0.123099998,0.123999998
D10,0.121100001,0.124200001,0.125
D11,0.091600001,0.093400002,0.093199998
D12,0.091499999,0.0933,0.093199998
E1,0.088699996,0.090800002,0.090700001
E2,0.417299986,0.427399993,0.434399992
E3,0.404300004,0.41080001,0.415600002
E4,0.409700006,0.418199986,0.423700005
E5,0.087200001,0.089599997,0.089299999
E6,0.086300001,0.088399999,0.088299997
E7,0.088399999,0.090700001,0.090700001
E8,0.383300006,0.391499996,0.399100006
E9,0.375499994,0.380299985,0.383399993
E10,0.398999989,0.40290001,0.404900014
E11,0.088299997,0.0911,0.090300001
E12,0.092399999,0.095200002,0.095100001
F1,0.086300001,0.089699998,0.089000002
F2,0.408100009,0.422100008,0.429699987
F3,0.394300014,0.404000014,0.410100013
F4,0.397599995,0.406300008,0.412200004
F5,0.3926,0.401199996,0.406899989
F6,0.396499991,0.407999992,0.416099995
F7,0.380600005,0.389400005,0.395900011
F8,0.090899996,0.093699999,0.093099996
F9,0.090499997,0.093900003,0.093599997
F10,0.089100003,0.091399997,0.093099996
F11,0.087200001,0.089900002,0.090099998
F12,0.088799998,0.091300003,0.0911
G1,0.085299999,0.088799998,0.088200003
G2,0.200900003,0.202999994,0.202199996
G3,0.207699999,0.212599993,0.211999997
G4,0.206900001,0.213400006,0.210999995
G5,0.122599997,0.126699999,0.125499994
G6,0.123899996,0.128900006,0.126900002
G7,0.125300005,0.129199997,0.129800007
G8,0.110100001,0.1149,0.1131
G9,0.110100001,0.113799997,0.113600001
G10,0.123099998,0.127900004,0.127100006
G11,0.087499999,0.091399997,0.090499997
G12,0.088100001,0.091499999,0.090800002
H1,0.086199999,0.090599999,0.089299999
H2,0.085199997,0.089299999,0.088
H3,0.083899997,0.088399999,0.087200001
H4,0.083899997,0.088399999,0.087300003
H5,0.084100001,0.088699996,0.087499999
H6,0.0836,0.088,0.087399997
H7,0.083800003,0.088200003,0.086999997
H8,0.085699998,0.089900002,0.088600002
H9,0.0845,0.089000002,0.087899998
H10,0.083499998,0.087700002,0.0867
H11,0.084100001,0.088299997,0.087200001
H12,0.0854,0.089500003,0.088500001
