Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
Time [s],0,1312.7,2624.6,3936.4,5248.2,6560.1,7871.9,9183.7,10495.5,11807.4,13119.2,14431.1,15742.9,17054.7,18366.5,19678.4,20990.3,22302.1,23613.9,24925.7,26237.6,27549.5,28861.3,30173.1,31484.9,32796.8,34108.7,35420.5,36732.3,38044.2,39356,40667.9,41979.7,43291.6,44603.4,45915.2,47227.1,48538.9,49850.8,51162.5,52474.4,53786.2,55098.1,56409.9,57721.8,59033.6,60345.5,61657.3,62969.1,64281,65592.8,66904.7,68216.5,69528.3,70840.2,72152,73463.8,74776.1,76117,77428.9,78740.7,80052.6,81364.5,82676.9,84053.7,85429.6,86806.6,88182.7,89528.5,90909.4,92290.7,93672.6,95063.5
Temp. [°C],30.3,30,30.5,31,31.3,31.5,31.6,31.8,32,32.1,32.1,32.2,32.2,32,31.9,31.7,31.6,31.5,31.4,31.2,31.1,30.9,30.8,30.7,30.6,30.6,30.5,30.5,30.4,30.4,30.3,30.3,30.2,30.2,30.2,30.3,30.4,30.4,30.3,30.2,30.2,30.2,30.1,30.1,30.1,30,30,30,30,30,30,30,30,30,30,30,29.9,29.9,30.1,30.4,30.6,30.8,31,31.1,31.3,31.4,31.4,31.3,31.3,31.3,31.4,31.5,31.6
A1,0.088699996,0.088799998,0.088799998,0.088799998,0.088799998,0.088699996,0.088699996,0.088799998,0.088699996,0.088699996,0.088799998,0.088699996,0.088699996,0.088699996,0.088699996,0.088699996,0.088799998,0.088799998,0.088799998,0.088799998,0.088799998,0.088799998,0.088799998,0.088799998,0.088799998,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.089000002,0.089000002,0.089000002,0.089000002,0.0889,0.0889,0.089000002,0.089000002,0.089000002,0.089000002,0.089000002,0.089000002,0.089100003,0.089000002,0.089100003,0.089000002,0.089100003,0.089100003,0.089100003,0.089100003,0.089100003,0.089100003,0.089100003,0.089100003,0.089100003,0.089100003,0.089199997,0.089199997,0.089199997,0.089199997,0.089299999,0.089100003,0.089199997,0.089199997,0.089199997,0.089199997,0.089199997,0.089199997,0.089299999,0.089299999
A2,0.093500003,0.093599997,0.093599997,0.093599997,0.093500003,0.093400002,0.093400002,0.093599997,0.093400002,0.093500003,0.093500003,0.093500003,0.093500003,0.093400002,0.093400002,0.093800001,0.093400002,0.093400002,0.0933,0.0933,0.093400002,0.0933,0.093500003,0.0933,0.0933,0.093500003,0.0933,0.093400002,0.0933,0.0933,0.0933,0.0933,0.093199998,0.0933,0.0933,0.0933,0.0933,0.093099996,0.093199998,0.093199998,0.093199998,0.093199998,0.0933,0.093199998,0.093400002,0.093199998,0.093199998,0.093199998,0.093099996,0.093199998,0.093099996,0.093199998,0.093099996,0.093099996,0.093099996,0.093099996,0.093000002,0.093099996,0.093099996,0.093099996,0.093099996,0.093099996,0.093000002,0.092900001,0.092799999,0.093400002,0.092799999,0.092600003,0.092699997,0.092699997,0.092699997,0.092600003,0.092500001
A3,0.095799997,0.096000001,0.095899999,0.096100003,0.096000001,0.096000001,0.095899999,0.096100003,0.096000001,0.096000001,0.096000001,0.096000001,0.096000001,0.095899999,0.095899999,0.095899999,0.095799997,0.095799997,0.095899999,0.095799997,0.095799997,0.095799997,0.095799997,0.095899999,0.095799997,0.095799997,0.095799997,0.095799997,0.095799997,0.095799997,0.095799997,0.095700003,0.095700003,0.095700003,0.095700003,0.095799997,0.095799997,0.095700003,0.095600002,0.095700003,0.095700003,0.095700003,0.095600002,0.095600002,0.095600002,0.095600002,0.095600002,0.095700003,0.095600002,0.0955,0.095600002,0.0955,0.095600002,0.095399998,0.0955,0.0955,0.095399998,0.095399998,0.095399998,0.0955,0.095399998,0.095299996,0.095399998,0.095299996,0.095299996,0.095200002,0.095299996,0.095100001,0.095100001,0.095100001,0.095100001,0.094999999,0.095100001
A4,0.093699999,0.093699999,0.093599997,0.093800001,0.093599997,0.093599997,0.093400002,0.093500003,0.093500003,0.093599997,0.093500003,0.093500003,0.093500003,0.093400002,0.093400002,0.093400002,0.093400002,0.093400002,0.093400002,0.093400002,0.093400002,0.0933,0.0933,0.0933,0.0933,0.0933,0.093199998,0.0933,0.0933,0.0933,0.093199998,0.0933,0.093199998,0.0933,0.0933,0.0933,0.093199998,0.093099996,0.093099996,0.093099996,0.093199998,0.093199998,0.093099996,0.093099996,0.093099996,0.093099996,0.093099996,0.093099996,0.093099996,0.093000002,0.093000002,0.093000002,0.093000002,0.092900001,0.093000002,0.093000002,0.093000002,0.092900001,0.092900001,0.093000002,0.092799999,0.092699997,0.092799999,0.092900001,0.092799999,0.092799999,0.092699997,0.092600003,0.092600003,0.092600003,0.092600003,0.092600003,0.092900001
A5,0.093800001,0.093999997,0.094099998,0.0942,0.093900003,0.093900003,0.093900003,0.093900003,0.093900003,0.093800001,0.093800001,0.093699999,0.093699999,0.093699999,0.093599997,0.093500003,0.093699999,0.093699999,0.093699999,0.093599997,0.093699999,0.093699999,0.093599997,0.093599997,0.093599997,0.093599997,0.093599997,0.093599997,0.093699999,0.093599997,0.093500003,0.093500003,0.093400002,0.093599997,0.093599997,0.093500003,0.093500003,0.093400002,0.093400002,0.093500003,0.093400002,0.093500003,0.093400002,0.093500003,0.093400002,0.093400002,0.093400002,0.0933,0.0933,0.0933,0.0933,0.093199998,0.0933,0.093199998,0.093199998,0.093199998,0.093099996,0.093099996,0.093099996,0.093099996,0.093099996,0.093000002,0.093099996,0.093000002,0.092900001,0.093000002,0.092900001,0.092799999,0.092799999,0.092699997,0.092799999,0.092900001,0.092900001
A6,0.092900001,0.093099996,0.093099996,0.093000002,0.093000002,0.092900001,0.092900001,0.093000002,0.092900001,0.092900001,0.093000002,0.092799999,0.092799999,0.092699997,0.092699997,0.092699997,0.092799999,0.092699997,0.092600003,0.092600003,0.092699997,0.092699997,0.092600003,0.092600003,0.092600003,0.092699997,0.092600003,0.092600003,0.092600003,0.092600003,0.092500001,0.092500001,0.092500001,0.092500001,0.092600003,0.092600003,0.092399999,0.092399999,0.092399999,0.092500001,0.092500001,0.092399999,0.092399999,0.092399999,0.092399999,0.092399999,0.092399999,0.092299998,0.092200004,0.092399999,0.092299998,0.092100002,0.092200004,0.092200004,0.092100002,0.092200004,0.092100002,0.092100002,0.092200004,0.092100002,0.092,0.092,0.092,0.092100002,0.091899998,0.092100002,0.091899998,0.091799997,0.091799997,0.092399999,0.092100002,0.092100002,0.091799997
A7,0.093099996,0.093699999,0.093500003,0.093500003,0.093500003,0.093400002,0.093400002,0.0933,0.093400002,0.0933,0.093400002,0.0933,0.0933,0.093199998,0.093199998,0.093099996,0.093099996,0.093099996,0.093099996,0.093000002,0.093099996,0.093099996,0.093099996,0.093099996,0.093099996,0.093099996,0.093000002,0.093000002,0.093000002,0.093000002,0.093000002,0.092900001,0.093000002,0.093099996,0.093000002,0.093000002,0.092900001,0.092799999,0.092799999,0.092799999,0.092900001,0.092799999,0.092799999,0.092699997,0.092699997,0.092699997,0.092699997,0.092699997,0.092600003,0.092600003,0.092600003,0.092600003,0.092600003,0.092500001,0.092500001,0.092399999,0.092399999,0.092399999,0.092500001,0.092399999,0.092299998,0.092299998,0.092299998,0.092299998,0.092200004,0.092299998,0.092600003,0.092500001,0.092500001,0.092200004,0.092699997,0.092500001,0.092500001
A8,0.0933,0.093400002,0.093400002,0.093400002,0.0933,0.093400002,0.093400002,0.0933,0.0933,0.093199998,0.0933,0.093199998,0.093199998,0.093000002,0.093099996,0.092900001,0.093099996,0.093099996,0.093099996,0.093000002,0.093000002,0.093000002,0.093000002,0.093099996,0.093000002,0.093000002,0.093000002,0.092900001,0.092900001,0.093099996,0.093099996,0.093000002,0.092900001,0.093000002,0.092900001,0.092900001,0.092900001,0.092799999,0.092699997,0.092699997,0.092900001,0.092699997,0.092799999,0.092699997,0.092900001,0.092699997,0.092799999,0.092699997,0.092699997,0.092500001,0.092600003,0.092699997,0.092600003,0.092500001,0.092500001,0.092500001,0.092500001,0.092299998,0.092399999,0.092500001,0.092299998,0.092299998,0.092399999,0.092399999,0.092399999,0.092399999,0.092399999,0.092399999,0.092600003,0.092500001,0.092600003,0.0933,0.092699997
A9,0.092699997,0.093099996,0.093199998,0.0933,0.093199998,0.093199998,0.093199998,0.0933,0.0933,0.093099996,0.093199998,0.093199998,0.0933,0.093000002,0.093000002,0.092900001,0.093000002,0.093199998,0.093000002,0.092900001,0.093000002,0.093099996,0.093000002,0.093000002,0.093000002,0.093000002,0.093000002,0.092900001,0.093099996,0.092900001,0.093000002,0.092900001,0.092900001,0.092900001,0.092799999,0.092900001,0.092799999,0.092699997,0.092699997,0.092900001,0.092600003,0.092500001,0.092600003,0.092500001,0.092699997,0.092500001,0.092500001,0.092500001,0.092500001,0.092399999,0.092399999,0.092299998,0.092299998,0.092200004,0.092299998,0.092399999,0.092299998,0.092399999,0.092200004,0.092200004,0.092299998,0.092500001,0.092500001,0.092299998,0.092200004,0.092200004,0.092200004,0.092799999,0.092600003,0.092399999,0.092600003,0.092399999,0.092299998
A10,0.091499999,0.091899998,0.091799997,0.091799997,0.091799997,0.091700003,0.091700003,0.091700003,0.091700003,0.091600001,0.091700003,0.091700003,0.091799997,0.091600001,0.091700003,0.091600001,0.091700003,0.091700003,0.091700003,0.091700003,0.091799997,0.091899998,0.091700003,0.091700003,0.091700003,0.091700003,0.091700003,0.091600001,0.091700003,0.091700003,0.091700003,0.091600001,0.091600001,0.091700003,0.091600001,0.091700003,0.091600001,0.091600001,0.091600001,0.091499999,0.091499999,0.091399997,0.091200002,0.090899996,0.090700001,0.090499997,0.0902,0.089900002,0.089699998,0.089599997,0.089299999,0.089199997,0.0889,0.0889,0.088600002,0.088399999,0.088200003,0.088,0.087899998,0.087800004,0.0876,0.087700002,0.089000002,0.089699998,0.090099998,0.090599999,0.090800002,0.090700001,0.090899996,0.091300003,0.091799997,0.092100002,0.092500001
A11,0.089299999,0.089599997,0.089599997,0.089599997,0.089599997,0.089500003,0.089599997,0.089500003,0.089500003,0.089500003,0.089500003,0.089500003,0.089599997,0.089400001,0.089400001,0.089500003,0.089400001,0.089500003,0.089500003,0.089500003,0.089599997,0.089699998,0.089500003,0.089599997,0.089599997,0.089699998,0.089699998,0.089599997,0.089599997,0.089699998,0.089699998,0.089599997,0.089599997,0.089699998,0.089699998,0.0898,0.089599997,0.089599997,0.089599997,0.089599997,0.089699998,0.089599997,0.089699998,0.089699998,0.0898,0.0898,0.0898,0.0898,0.089699998,0.0898,0.089900002,0.0898,0.0898,0.089699998,0.089900002,0.0898,0.089699998,0.0898,0.0898,0.089900002,0.089900002,0.090000004,0.089900002,0.090000004,0.090000004,0.090000004,0.090000004,0.089900002,0.089900002,0.090000004,0.090099998,0.090099998,0.090099998
A12,0.089500003,0.090000004,0.090099998,0.0902,0.090099998,0.090099998,0.090099998,0.090300001,0.090099998,0.090099998,0.090099998,0.090000004,0.090099998,0.090000004,0.090300001,0.0898,0.090099998,0.090000004,0.0902,0.089900002,0.090099998,0.090099998,0.090000004,0.0902,0.0902,0.090099998,0.090099998,0.090099998,0.090099998,0.0902,0.0902,0.090099998,0.090099998,0.0902,0.090400003,0.090300001,0.090300001,0.090099998,0.0902,0.090300001,0.090300001,0.090099998,0.090300001,0.0902,0.090400003,0.090300001,0.090400003,0.090400003,0.090400003,0.090400003,0.090499997,0.090499997,0.090499997,0.090300001,0.090499997,0.090499997,0.090700001,0.090400003,0.090599999,0.090700001,0.090700001,0.090700001,0.090499997,0.090599999,0.090599999,0.090499997,0.090599999,0.090400003,0.090599999,0.090700001,0.090700001,0.090800002,0.090899996
B1,0.089599997,0.0902,0.0902,0.090099998,0.090099998,0.090099998,0.090000004,0.090099998,0.089900002,0.090000004,0.090000004,0.089900002,0.089900002,0.089699998,0.089599997,0.089599997,0.0898,0.089699998,0.0898,0.089699998,0.089699998,0.0898,0.089699998,0.089599997,0.0898,0.0898,0.0898,0.089699998,0.089900002,0.089900002,0.089900002,0.089900002,0.0898,0.089900002,0.089900002,0.090000004,0.089900002,0.089699998,0.0898,0.0898,0.089900002,0.0898,0.089900002,0.0898,0.089900002,0.089900002,0.0898,0.0898,0.089900002,0.089900002,0.0898,0.089900002,0.089900002,0.0898,0.0898,0.089900002,0.090000004,0.090000004,0.0902,0.090300001,0.0902,0.0902,0.090300001,0.090499997,0.090400003,0.090400003,0.090300001,0.090099998,0.0902,0.090400003,0.090499997,0.090499997,0.090599999
