locusId	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA
STM0001	STM0001	1	AE006468	190	255	+		thr operon leader peptide	0.5455	3
STM0002	STM0002	1	AE006468	337	2799	+		aspartokinase I	0.5595	82
STM0003	STM0003	1	AE006468	2801	3730	+		homoserine kinase	0.5796	34
STM0004	STM0004	1	AE006468	3734	5020	+		threonine synthase	0.5680	42
STM0005	STM0005	1	AE006468	5114	5887	-		putative cytoplasmic protein	0.5065	33
STM0006	STM0006	1	AE006468	5966	7396	-		putative alanine/glycine transport protein	0.5584	64
STM0007	STM0007	1	AE006468	7665	8618	+		transaldolase B	0.5398	43
STM0008	STM0008	1	AE006468	8729	9319	+		putative molybdochetalase	0.5618	20
STM0009	STM0009	1	AE006468	9376	9942	-		putative regulatory protein	0.5414	28
STM0010	STM0010	1	AE006468	10092	10805	-		positive sigma H regulator	0.5434	24
STM0011	STM0011	1	AE006468	10841	11245	-		putative periplasmic protein	0.4963	21
STM0012	STM0012	1	AE006468	11593	13509	+		chaperone Hsp70	0.5258	73
STM0013	STM0013	1	AE006468	13595	14734	+		heat shock protein DnaJ	0.5404	39
STM0014	STM0014	1	AE006468	15014	15961	+		putative LysR family transcriptional regulator	0.4061	71
STM0015	STM0015	1	AE006468	16088	16432	+		putative bacteriophage protein	0.4058	24
STM0016	STM0016	1	AE006468	16493	17026	-		hypothetical protein	0.5112	31
STM0017	STM0017	1	AE006468	17043	17486	-		putative protein	0.3829	34
STM0018	STM0018	1	AE006468	17867	19966	+		putative exochitinase	0.5110	101
STM0019	STM0019	1	AE006468	20058	23054	+		putative hydroxymethyltransferase	0.5485	146
STM0020	STM0020	1	AE006468	23335	24039	+		putative cytoplasmic protein	0.4695	40
STM0021	STM0021	1	AE006468	24469	25011	+		fimbrial subunit	0.5175	29
STM0022	STM0022	1	AE006468	25112	25798	+		fimbrial chaparone	0.5095	41
STM0023	STM0023	1	AE006468	25803	28424	+		fimbrial usher	0.5446	140
STM0024	STM0024	1	AE006468	28425	29432	+		fimbrial subunit	0.5010	60
STM0025	STM0025	1	AE006468	29433	29978	+		fimbrial subunit	0.4945	27
STM0026	STM0026	1	AE006468	29994	30512	+		fimbrial subunit	0.5568	24
STM0027	STM0027	1	AE006468	30478	31209	+		fimbrial chaparone	0.5396	47
STM0028	STM0028	1	AE006468	31274	32119	+		putative thiol-disulfide isomerase	0.5496	33
STM0029	STM0029	1	AE006468	32545	32994	-		putative transcription regulator	0.3711	39
STM0030	STM0030	1	AE006468	33364	34368	+		putative LysR family transcriptional regulator	0.3881	73
STM0031	STM0031	1	AE006468	34376	34816	-		putative transcription regulator	0.3583	41
STM0032	STM0032	1	AE006468	35339	37057	+		putative arylsulfatase	0.4631	113
STM0033	STM0033	1	AE006468	37103	38674	-		putative 5'-nucleotidase	0.4682	99
STM0034	STM0034	1	AE006468	38773	39534	-		putative outer membrane or exported protein	0.4423	61
STM0035	STM0035	1	AE006468	40131	41624	+		putative arylsulfatase	0.5241	89
STM0036	STM0036	1	AE006468	41723	42913	+		putative arylsulfatase regulatory protein	0.4971	53
STM0037	STM0037	1	AE006468	42932	44185	+		putative cytoplasmic protein	0.4992	64
STM0038	STM0038	1	AE006468	44312	46027	+		putative arylsulfatase	0.4971	114
STM0039	STM0039	1	AE006468	46190	47356	+		NhaA family of transport protein, Na+/H antiporter, pH dependent	0.5638	35
STM0040	STM0040	1	AE006468	47418	48317	+		transcriptional activator of nhaA	0.5056	38
STM0041	STM0041	1	AE006468	48372	50411	-		putative glycosyl hydrolase	0.5461	88
STM0042	STM0042	1	AE006468	50451	51824	-		putative sodium galactoside symporter	0.4905	89
STM0043	STM0043	1	AE006468	52280	52543	-		30S ribosomal subunit protein S20	0.4659	14
STM0044	STM0044	1	AE006468	52649	52864	+		putative cytoplasmic protein	0.4769	10
STM0045	STM0045	1	AE006468	52872	53810	+		flavokinase and FAD synthetase	0.5676	39
STM0046	STM0046	1	AE006468	53855	56689	+		isoleucine tRNA synthetase	0.5478	102
STM0047	STM0047	1	AE006468	56689	57189	+		prolipoprotein signal peptidase (SPase II)	0.5289	29
STM0048	STM0048	1	AE006468	57344	57793	+		FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	0.5467	14
STM0049	STM0049	1	AE006468	57796	58746	+		regulates the activity of guanosine 3',5'-bispyrophosphate synthetase I (RelA)	0.5741	31
STM0050	STM0050	1	AE006468	58946	60148	+		putative nitrite reductase	0.4821	70
STM0051	STM0051	1	AE006468	60164	61084	+		putative purine nucleoside hydrolase	0.5657	37
STM0052	STM0052	1	AE006468	61106	61792	-		putative transcription regulator sensor for citrate	0.4862	39
STM0053	STM0053	1	AE006468	61794	63413	-		putative transcription regulator	0.4802	90
STM0054	STM0054	1	AE006468	63548	64849	-		putative oxalacetate decarboxylase, subunit beta	0.6398	29
STM0055	STM0055	1	AE006468	64862	66637	-		putative oxalacetate decarboxylase, subunit alpha	0.6368	34
STM0056	STM0056	1	AE006468	66654	66893	-		putative oxalacetate decarboxylase, subunit gamma	0.5750	7
STM0057	STM0057	1	AE006468	67052	68392	-		putative citrate-sodium symport	0.4937	77
STM0058	STM0058	1	AE006468	68637	69680	+		putative citrate lyase synthetase	0.5374	38
STM0059	STM0059	1	AE006468	69710	70003	+		putative citrate lyase acyl carrier protein, gamma chain	0.5714	6
