Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Names (primary),Gene Names (ORF),Gene Names (synonym)
H9L427,reviewed,BIPA_SALTY,"50S ribosomal subunit assembly factor BipA, EC 3.6.5.- (GTP-binding protein BipA) (Ribosome-dependent GTPase BipA)",bipA STM4009,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),607,bipA,,
H9L478,reviewed,PDUJ_SALTY,"Bacterial microcompartment shell protein PduJ (Bacterial microcompartment protein homohexamer, BMC-H) (Propanediol utilization protein PduJ)",pduJ STM2045,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),91,pduJ,,
O06961,reviewed,TDCD_SALTY,"Propionate kinase, EC 2.7.2.15",tdcD oxd-2 STM3242,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),402,tdcD,,oxd-2
O30916,reviewed,SOPB_SALTY,"Inositol phosphate phosphatase SopB, EC 3.1.3.- (Effector protein SopB)",sopB sigD STM1091,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),561,sopB,,sigD
O31041,reviewed,PDUD_SALTY,"Propanediol dehydratase medium subunit, EC 4.2.1.28 (Diol dehydratase medium subunit, DDH medium subunit) (Propanediol utilization protein PduD)",pduD STM2041,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),224,pduD,,
O31042,reviewed,PDUE_SALTY,"Propanediol dehydratase small subunit, EC 4.2.1.28 (Diol dehydratase small subunit, DDH small subunit) (Propanediol utilization protein PduE)",pduE STM2042,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),173,pduE,,
O52325,reviewed,ARNA_SALTY,"Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase, EC 2.1.2.13 (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating, EC 1.1.1.305 (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase) ]",arnA pbgP3 pmrI STM2299,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),660,arnA,,pbgP3 pmrI
P00898,reviewed,TRPE_SALTY,"Anthranilate synthase component 1, AS, ASI, EC 4.1.3.27",trpE STM1723,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),520,trpE,,
P00905,reviewed,TRPGD_SALTY,"Bifunctional protein TrpGD [Includes: Anthranilate synthase component 2, AS, ASII, EC 4.1.3.27 (Anthranilate synthase, glutamine amidotransferase component); Anthranilate phosphoribosyltransferase, EC 2.4.2.18 ]",trpGD trpD STM1724,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),531,trpGD,,trpD
P04042,reviewed,CHEB_SALTY,"Protein-glutamate methylesterase/protein-glutamine glutaminase, EC 3.1.1.61, EC 3.5.1.44",cheB STM1917,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),349,cheB,,
P05989,reviewed,ILVC_SALTY,"Ketol-acid reductoisomerase (NADP(+)), KARI, EC 1.1.1.86 (Acetohydroxy-acid isomeroreductase, AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 2) (Ketol-acid reductoisomerase type II)",ilvC STM3909 STMD1.81,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),491,ilvC,STMD1.81,
P07800,reviewed,CHEZ_SALTY,"Protein phosphatase CheZ, EC 3.1.3.- (Chemotaxis protein CheZ)",cheZ STM1915,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),214,cheZ,,
P08870,reviewed,PYRE_SALTY,"Orotate phosphoribosyltransferase, OPRT, OPRTase, EC 2.4.2.10",pyrE STM3733,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),213,pyrE,,
P0A1A5,reviewed,ILVE_SALTY,"Branched-chain-amino-acid aminotransferase, BCAT, EC 2.6.1.42 (Transaminase B)",ilvE STM3903 STMD1.89,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),309,ilvE,STMD1.89,
P0A1B9,reviewed,SCTN1_SALTY,"SPI-1 type 3 secretion system ATPase, T3SS-1 ATPase, EC 7.4.2.8 (Invasion protein InvC)",sctN1 invC spaI spaL STM2894,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),431,sctN1,,invC spaI spaL
P0A1C7,reviewed,PDUA_SALTY,"Bacterial microcompartment shell protein PduA (Bacterial microcompartment protein homohexamer, BMC-H) (Propanediol utilization protein PduA)",pduA STM2038,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),94,pduA,,
P0A1C9,reviewed,EUTL_SALTY,Bacterial microcompartment shell protein EutL (BMC-T) (Ethanolamine utilization protein EutL),eutL STM2456,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),219,eutL,,
P0A1E1,reviewed,HEMN_SALTY,"Oxygen-independent coproporphyrinogen III oxidase, CPO, EC 1.3.98.3 (Coproporphyrinogen III dehydrogenase, CPDH)",hemN STM4004,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),457,hemN,,
P0A1E3,reviewed,CYSK_SALTY,"Cysteine synthase A, CSase A, EC 2.5.1.47 (O-acetylserine (thiol)-lyase A, OAS-TL A) (O-acetylserine sulfhydrylase A)",cysK STM2430,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),323,cysK,,
P0A1F8,reviewed,DHAS_SALTY,"Aspartate-semialdehyde dehydrogenase, ASA dehydrogenase, ASADH, EC 1.2.1.11 (Aspartate-beta-semialdehyde dehydrogenase)",asd STM3539,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),368,asd,,
P0A1P6,reviewed,GLN1B_SALTY,"Glutamine synthetase, GS, EC 6.3.1.2 (Glutamate--ammonia ligase) (Glutamine synthetase I beta, GSI beta)",glnA STM4007,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),469,glnA,,
P0A1S2,reviewed,HNS_SALTY,DNA-binding protein H-NS (Histone-like protein HLP-II) (Protein B1) (Protein H1),hns hnsA osmZ STM1751,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),137,hns,,hnsA osmZ
P0A1V6,reviewed,KPRS_SALTY,"Ribose-phosphate pyrophosphokinase, RPPK, EC 2.7.6.1 (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase, P-Rib-PP synthase, PRPP synthase, PRPPase)",prs prsA STM1780,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),315,prs,,prsA
P0A251,reviewed,AHPC_SALTY,"Alkyl hydroperoxide reductase C, EC 1.11.1.26 (Alkyl hydroperoxide reductase protein C22) (Peroxiredoxin) (Thioredoxin peroxidase)",ahpC STM0608,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),187,ahpC,,
P0A277,reviewed,XGPT_SALTY,"Xanthine-guanine phosphoribosyltransferase, XGPRT, EC 2.4.2.-, EC 2.4.2.22 (Xanthine phosphoribosyltransferase)",gpt STM0317,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),152,gpt,,
P0A283,reviewed,PTGA_SALTY,PTS system glucose-specific EIIA component (EIIA-Glc) (EIII-Glc) (Glucose-specific phosphotransferase enzyme IIA component),crr STM2433,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),169,crr,,
P0A2D5,reviewed,CHEY_SALTY,Chemotaxis protein CheY,cheY STM1916,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),129,cheY,,
P0A2E1,reviewed,GLYA_SALTY,"Serine hydroxymethyltransferase, SHMT, Serine methylase, EC 2.1.2.1",glyA STM2555,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),417,glyA,,
P0A2F2,reviewed,NPD_SALTY,"NAD-dependent protein deacylase, EC 2.3.1.286 (Regulatory protein SIR2 homolog)",cobB STM1221,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),273,cobB,,
P0A2I3,reviewed,GYRB_SALTY,"DNA gyrase subunit B, EC 5.6.2.2",gyrB STM3835,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),804,gyrB,,
P0A2K1,reviewed,TRPB_SALTY,"Tryptophan synthase beta chain, EC 4.2.1.20",trpB STM1726,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),397,trpB,,
